year,state,percent_votes_rep,percent_votes_dem,winner
1992,RHODE ISLAND,0.2902760468937831,0.4704796356136888,dem
1996,RHODE ISLAND,0.2682480582810373,0.5971858848370392,dem
2000,RHODE ISLAND,0.3191179921390719,0.6098770018967911,dem
2004,RHODE ISLAND,0.3867143713369356,0.5942342622628302,dem
2008,RHODE ISLAND,0.3505784647473535,0.6286400461245617,dem
2012,RHODE ISLAND,0.3524366157081396,0.627009588632639,dem
2016,RHODE ISLAND,0.3889805749939674,0.5440660657037472,dem
2020,RHODE ISLAND,0.3867038047157585,0.5947619876593357,dem
