year,state,percent_votes_rep,percent_votes_dem,winner
1992,CALIFORNIA,0.3261466937592129,0.4600658784028094,dem
1996,CALIFORNIA,0.3820942008004616,0.5109886561852729,dem
2000,CALIFORNIA,0.4165149680525545,0.5344973682775446,dem
2004,CALIFORNIA,0.4435769597724177,0.5430555753467436,dem
2008,CALIFORNIA,0.3695485883246447,0.6101263834713425,dem
2012,CALIFORNIA,0.371203785207048,0.6023895914168964,dem
2016,CALIFORNIA,0.3161710653843943,0.6172639960455788,dem
2020,CALIFORNIA,0.3432072362528492,0.6348394689387351,dem
