year,state,percent_votes_rep,percent_votes_dem,winner
1992,NEW YORK,0.2883974307543317,0.4727630691275797,dem
1996,NEW YORK,0.2700220790731168,0.5667893903041855,dem
2000,NEW YORK,0.3244981656457451,0.566392704823055,dem
2004,NEW YORK,0.376865299923499,0.5613058126549186,dem
2008,NEW YORK,0.313172371111752,0.6015696154075767,dem
2012,NEW YORK,0.312415973282314,0.6076098417487449,dem
2016,NEW YORK,0.3239060230574292,0.5613614259984896,dem
2020,NEW YORK,0.3746129384009093,0.603918845358349,dem
