year,state,percent_votes_rep,percent_votes_dem,winner
1992,MARYLAND,0.3562940269477673,0.4981260518598394,dem
1996,MARYLAND,0.3826949749279846,0.5425477435186173,dem
2000,MARYLAND,0.4018478065506228,0.5648830838450493,dem
2004,MARYLAND,0.4297821777859425,0.5597146761355201,dem
2008,MARYLAND,0.364745196451127,0.6191934476264593,dem
2012,MARYLAND,0.3589773233894539,0.6197419077931849,dem
2016,MARYLAND,0.3390930472854767,0.6032574423519277,dem
2020,MARYLAND,0.3215029156774875,0.6536066486007711,dem
