year,state,percent_votes_rep,percent_votes_dem,winner
1992,ILLINOIS,0.3433746713220995,0.4857967781991728,dem
1996,ILLINOIS,0.3680995298269166,0.5431527783028726,dem
2000,ILLINOIS,0.4258487997321022,0.545965212095549,dem
2004,ILLINOIS,0.4447862682634849,0.5482316020902781,dem
2008,ILLINOIS,0.367809225421472,0.6191811452001323,dem
2012,ILLINOIS,0.407327412708169,0.5760213536247709,dem
2016,ILLINOIS,0.3876175307382527,0.558253666987933,dem
2020,ILLINOIS,0.4055345081817372,0.5754164537667581,dem
