year,state,percent_votes_rep,percent_votes_dem,winner
1992,MASSACHUSETTS,0.2902438795758967,0.4754141092792782,dem
1996,MASSACHUSETTS,0.2808799202334166,0.614720987115381,dem
2000,MASSACHUSETTS,0.3213290299360196,0.5912612602067913,dem
2004,MASSACHUSETTS,0.3658840187124994,0.616166602048537,dem
2008,MASSACHUSETTS,0.3573495928933176,0.6136319910280229,dem
2012,MASSACHUSETTS,0.3731912231533486,0.6033830832021647,dem
2016,MASSACHUSETTS,0.3228620279085515,0.5905006509667129,dem
2020,MASSACHUSETTS,0.3190815758863096,0.6512298370286536,dem
