year,state,percent_votes_rep,percent_votes_dem,winner
1992,NEBRASKA,0.4659750035929962,0.294034541574356,rep
1996,NEBRASKA,0.5365499730593506,0.3495065801613486,rep
2000,NEBRASKA,0.6224536203460738,0.3325303901328371,rep
2004,NEBRASKA,0.6589864119889075,0.3268216082016382,rep
2008,NEBRASKA,0.5653185336979162,0.415982657769247,rep
2012,NEBRASKA,0.5980319217904804,0.3802731441792897,rep
2016,NEBRASKA,0.5874735112712576,0.3369875637713553,rep
2020,NEBRASKA,0.5822416333205421,0.3916663094178796,rep
