year,state,percent_votes_rep,percent_votes_dem,winner
1992,NEW HAMPSHIRE,0.3769142708226687,0.3891179509135076,dem
1996,NEW HAMPSHIRE,0.395664895277257,0.4957057734944029,dem
2000,NEW HAMPSHIRE,0.4807030985044308,0.468031791607873,rep
2004,NEW HAMPSHIRE,0.4883434298460681,0.5020161082255741,dem
2008,NEW HAMPSHIRE,0.445214284709622,0.5412689705613458,dem
2012,NEW HAMPSHIRE,0.4640379649268888,0.5197968415071198,dem
2016,NEW HAMPSHIRE,0.4645866698195341,0.4682626266969055,dem
2020,NEW HAMPSHIRE,0.453562595046776,0.5270782528014766,dem
