year,state,percent_votes_rep,percent_votes_dem,winner
1992,TENNESSEE,0.4243336403317196,0.470847930888039,dem
1996,TENNESSEE,0.4559039757563599,0.4799871179264085,dem
2000,TENNESSEE,0.5114915318076796,0.4728489471775341,rep
2004,TENNESSEE,0.5679908949136325,0.4252529110879618,rep
2008,TENNESSEE,0.5689695428289423,0.4182853806271298,rep
2012,TENNESSEE,0.5947871471993759,0.3907581499379519,rep
2016,TENNESSEE,0.6072203369421462,0.3471633279865009,rep
2020,TENNESSEE,0.6066029416628381,0.374514342710237,rep
