year,state,percent_votes_rep,percent_votes_dem,winner
1992,WASHINGTON,0.3196560534891904,0.4341022003746341,dem
1996,WASHINGTON,0.3730136651408243,0.4984047204833357,dem
2000,WASHINGTON,0.445786479475025,0.5015821531675426,dem
2004,WASHINGTON,0.4564028199241435,0.5282114831183694,dem
2008,WASHINGTON,0.4047630494211489,0.5765289221364835,dem
2012,WASHINGTON,0.4129462143210913,0.5616339829967276,dem
2016,WASHINGTON,0.3683268018663746,0.5253868006182659,dem
2020,WASHINGTON,0.3876697774334327,0.5797030113530306,dem
