year,state,percent_votes_rep,percent_votes_dem,winner
1992,ARKANSAS,0.3548339930552999,0.5320795284925204,dem
1996,ARKANSAS,0.3680085766435739,0.5373644915194817,dem
2000,ARKANSAS,0.5130719769663293,0.4586425626043496,rep
2004,ARKANSAS,0.5430595907843537,0.4454763044518908,rep
2008,ARKANSAS,0.5871590449992959,0.3886465976512423,rep
2012,ARKANSAS,0.6056693608410911,0.368789903017201,rep
2016,ARKANSAS,0.6057410216382829,0.3365312412936093,rep
2020,ARKANSAS,0.6239572985614432,0.3477506195301496,rep
