year,state,percent_votes_rep,percent_votes_dem,winner
1992,MONTANA,0.3512249654759208,0.3763112452293446,dem
1996,MONTANA,0.4413154074230562,0.4125006448316436,rep
2000,MONTANA,0.584394602249225,0.3336512679264014,rep
2004,MONTANA,0.5906814316858852,0.3856502839483698,rep
2008,MONTANA,0.495324509445858,0.4726846477008176,rep
2012,MONTANA,0.553515353849205,0.416981373748058,rep
2016,MONTANA,0.5646619186857719,0.3593521877515034,rep
2020,MONTANA,0.5691846924002028,0.4054936936160908,rep
