year,state,percent_votes_rep,percent_votes_dem,winner
1992,PENNSYLVANIA,0.3612721051814485,0.4514616487325119,dem
1996,PENNSYLVANIA,0.400143558304288,0.492261247677619,dem
2000,PENNSYLVANIA,0.4643813292862545,0.5060817131276611,dem
2004,PENNSYLVANIA,0.484236661530542,0.5092380914415062,dem
2008,PENNSYLVANIA,0.4416705247991443,0.5448552801203738,dem
2012,PENNSYLVANIA,0.4668086603367444,0.520768577021407,dem
2016,PENNSYLVANIA,0.4857788580374602,0.4785361616456285,rep
2020,PENNSYLVANIA,0.4884361204017247,0.5000849567544814,dem
