year,state,percent_votes_rep,percent_votes_dem,winner
1992,IOWA,0.3727213870886537,0.432858386233055,dem
1996,IOWA,0.3992010210076373,0.5026096469015254,dem
2000,IOWA,0.4688563822317745,0.4719191557860848,dem
2004,IOWA,0.4990065750530225,0.4923313168421695,rep
2008,IOWA,0.4439325935530208,0.5392802007386527,dem
2012,IOWA,0.4617786851053609,0.5198801653414908,dem
2016,IOWA,0.5116206134467737,0.4175251344549623,rep
2020,IOWA,0.5280019763194579,0.4464723285866375,rep
