year,state,percent_votes_rep,percent_votes_dem,winner
1992,DELAWARE,0.3532663490090463,0.4352392790553138,dem
1996,DELAWARE,0.3657988995975038,0.518278497839814,dem
2000,DELAWARE,0.4191628832866708,0.5497772716309091,dem
2004,DELAWARE,0.4575281857192356,0.5334683760228152,dem
2008,DELAWARE,0.3694703354897529,0.6194266898150393,dem
2012,DELAWARE,0.3998260407354611,0.5861074198458528,dem
2016,DELAWARE,0.4192282433931927,0.5335333680563419,dem
2020,DELAWARE,0.3977487677110555,0.5874300579364167,dem
